data_x,data_y
"Come now, and let us have an argument together, says the Lord: how may your sins which are red like blood be white as snow? how may their dark purple seem like wool?","0,1,0"
"If you will give ear to my word and do it, the good things of the land will be yours;","0,1,0"
"But if your hearts are turned against me, I will send destruction on you by the sword; so the Lord has said.","0,1,0"
"The upright town has become untrue; there was a time when her judges gave right decisions, when righteousness had a resting-place in her, but now she is full of those who take men's lives.","0,1,0"
"Your silver is no longer true metal, your wine is mixed with water.","0,1,0"
"Your chiefs have gone against the Lord, they have become friends of thieves; every one of them is looking for profit and going after rewards; they do not give right decisions for the child who has no father, and they do not let the cause of the widow come before them.","0,1,0"
"For this reason the Lord, the Lord of armies, the Strong One of Israel, has said, I will put an end to my haters, and send punishment on those who are against me;","0,1,0"
"And my hand will again be on you, washing away what is unclean as with soap, and taking away all your false metal;","0,1,0"
"Now King David was old and far on in years; and though they put covers over him, his body was cold.","0,0,1"
"So his servants said to him, Let search be made for a young virgin for my lord the king, to take care of him and be waiting on him; and you may take her in your arms, and so my lord the king will be warm.","0,0,1"
"So after searching through all the land of Israel for a fair young girl, they saw Abishag the Shunammite, and took her to the king.","0,0,1"
"Now she was very beautiful; and she took care of the king, waiting on him at all times; but the king had no connection with her.","0,0,1"
"Then Adonijah, the son of Haggith, lifting himself up in pride, said, I will become king; and he made ready his carriages of war and his horsemen, with fifty runners to go before him.","0,0,1"
"Now all his life his father had never gone against him or said to him, Why have you done so? and he was a very good-looking man, and younger than Absalom.","0,0,1"
"And he had talk with Joab, the son of Zeruiah, and with Abiathar the priest; and they were on his side and gave him their support.","0,0,1"
"But Zadok the priest, and Benaiah, the son of Jehoiada, and Nathan the prophet and Shimei and Rei, and Davids men of war did not take the side of Adonijah.","0,0,1"
"Then Adonijah put to death sheep and oxen and fat beasts by the stone of Zoheleth, by En-rogel; and he sent for all his brothers, the kings sons, and all the men of Judah, the kings servants, to come to him:","0,0,1"
But he did not send for Nathan the prophet and Benaiah and the other men of war and Solomon his brother.,"0,0,1"
"Then Nathan said to Bath-sheba, the mother of Solomon, Has it not come to your ears that Adonijah, the son of Haggith, has made himself king without the knowledge of David our lord?","0,0,1"
"So now, let me make a suggestion, so that you may keep your life safe and the life of your son Solomon.","0,0,1"
"Come now, go to King David and say to him, Did you not, O my lord, take an oath to me, your servant, saying, Truly Solomon your son will be king after me, seated on the seat of my kingdom? why then is Adonijah acting as king?","0,0,1"
"And while you are still talking there with the king, see, I will come in after you and say that your story is true.","0,0,1"
"Then Bath-sheba went into the kings room; now the king was very old, and Abishag the Shunammite was waiting on him.","0,0,1"
"And Bath-sheba went down on her face on the earth before the king giving him honour. And he said, What is your desire?","0,0,1"
"And she said to him, My lord, you took an oath by the Lord your God and gave your word to your servant, saying, Truly, Solomon your son will be king after me, seated on the seat of my kingdom.","0,0,1"
"And now, see, Adonijah has made himself king without my lords knowledge;","0,0,1"
"And has put to death oxen and fat beasts and sheep in great numbers, and has sent for all the sons of the king, and Abiathar the priest, and Joab, the captain of the army; but he has not sent for Solomon your servant.","0,0,1"
"And now, my lord the king, the eyes of all Israel are on you, waiting for you to say who is to take the place of my lord the king after him.","0,0,1"
"For as things are, it will come about, when my lord the king is sleeping with his fathers, that I and Solomon my son will be made outlaws.","0,0,1"
"And while she was still talking with the king, Nathan the prophet came in.","0,0,1"
"And they said to the king, Here is Nathan the prophet. And when he came in before the king, he went down on his face on the earth.","0,0,1"
"And Nathan said, O my lord king, have you said, Adonijah is to be king after me, seated on the seat of my kingdom?","0,0,1"
"Because today he has gone down and has put to death oxen and fat beasts and sheep in great numbers, and has sent for all the kings sons to come to him, with the captains of the army and Abiathar the priest; and they are feasting before him and crying, Long life to King Adonijah!","0,0,1"
"But me, your servant, and Zadok the priest, and Benaiah, the son of Jehoiada, and your servant Solomon, he has not sent for.","0,0,1"
"Has this thing been done by my lord the king, without giving word to your servants who was to be placed on my lord the kings seat after him?","0,0,1"
"Then King David in answer said, Send for Bath-sheba to come to me. And she came in and took her place before the king.","0,0,1"
"And the king took an oath, and said, By the living Lord, who has been my saviour from all my troubles.","0,0,1"
"As I took an oath to you by the Lord, the God of Israel, saying, Certainly Solomon your son will become king after me, seated on my seat in my place; so will I do this day.","0,0,1"
"Then Bath-sheba went down on her face on the earth before the king giving him honour, and said, May my lord King David go on living for ever.","0,0,1"
"And King David said, Send for Zadok the priest, and Nathan the prophet, and Benaiah, the son of Jehoiada. And they came before the king.","0,0,1"
"And the king said to them, Take with you the servants of your lord, and put Solomon my son on my beast, yes, mine, and take him down to Gihon;","0,0,1"
"And there let Zadok the priest and Nathan the prophet put the holy oil on him to make him king over Israel; and sounding the horn say, Long life to King Solomon!","0,0,1"
"Then come up after him and he will come in and take his place on the seat of my kingdom; for he is to be king in my place, and I have given orders that he is to be ruler over Israel and over Judah.","0,0,1"
"And Benaiah, the son of Jehoiada, answering the king, said, So be it: and may the Lord, the God of my lord the king, say so.","0,0,1"
"As the Lord has been with my lord the king, even so may he be with Solomon and make the seat of his authority greater than that of my lord King David.","0,0,1"
"So Zadok the priest, and Nathan the prophet, and Benaiah, the son of Jehoiada, and the Cherethites and the Pelethites, went down and put Solomon on King Davids beast and took him to Gihon.","0,0,1"
"And Zadok the priest took the vessel of oil out of the Tent, and put the holy oil on Solomon. And when the horn was sounded, all the people said, Long life to King Solomon!","0,0,1"
"And all the people came up after him, piping with pipes, and they were glad with great joy, so that the earth was shaking with the sound.","0,0,1"
"And it came to the ears of Adonijah and all the guests who were with him, when their meal was ended. And Joab, hearing the sound of the horn, said, What is the reason of this noise as if the town was worked up?","0,0,1"
"And while the words were on his lips, Jonathan, the son of Abiathar the priest, came; and Adonijah said, Come in; for you are a man of good faith and the news which you have for us will be good.","0,0,1"
"And Jonathan, answering, said to Adonijah, Not so, but our lord King David has made Solomon king:","0,0,1"
"And he sent with him Zadok the priest, and Nathan the prophet, and Benaiah, the son of Jehoiada, and the Cherethites and the Pelethites; and they put him on the kings beast:","0,0,1"
"And Zadok the priest and Nathan the prophet put the holy oil on him and made him king in Gihon; and they came back from there with joy, and the town was all worked up. This is the noise which has come to your ears.","0,0,1"
And now Solomon is seated on the seat of the kingdom.,"0,0,1"
"And the kings servants came to our lord King David, blessing him and saying, May God make the name of Solomon better than your name, and the seat of his authority greater than your seat; and the king was bent low in worship on his bed.","0,0,1"
"And God gave them his blessing and said to them, Be fertile and have increase, and make the earth full and be masters of it; be rulers over the fish of the sea and over the birds of the air and over every living thing moving on the earth.","1,0,0"
"And God made man in his image, in the image of God he made him: male and female he made them.","1,0,0"
"And God said, Let us make man in our image, like us: and let him have rule over the fish of the sea and over the birds of the air and over the cattle and over all the earth and over every living thing which goes flat on the earth.","1,0,0"
"But a common destruction will overtake sinners and evil-doers together, and those who have gone away from the Lord will be cut off.","0,1,0"
"Upright acts will be the price of Zions forgiveness, and by righteousness will men be living there.","0,1,0"
"And I will give you judges again as at the first, and wise guides as in the past; then you will be named, The Town of Righteousness, the true town.","0,1,0"
"Then the king said, May the God of Israel be praised, who has given one of my seed to be king in my place this day and has let my eyes see it.","0,0,1"
"And all the guests of Adonijah got up in fear and went away, every man to his place.","0,0,1"
"And Adonijah himself was full of fear because of Solomon; and he got up and went to the altar, and put his hands on its horns.","0,0,1"
"And God said, See, I have given you every plant producing seed, on the face of all the earth, and every tree which has fruit producing seed: they will be for your food:","1,0,0"
And to every beast of the earth and to every bird of the air and every living thing moving on the face of the earth I have given every green plant for food: and it was so.,"1,0,0"
"And God saw everything which he had made and it was very good. And there was evening and there was morning, the sixth day.","1,0,0"
"For you will be put to shame because of the trees of your desire, and because of the gardens of your pleasure","0,1,0"
"For you will be like a tree whose leaves have become dry, and like a garden without water.","0,1,0"
"And the strong will be as food for the fire, and his work as a flame; and they will be burned together, with no one to put out the fire.","0,1,0"
"And they gave Solomon word of it, saying, See, Adonijah goes in such fear of King Solomon, that he has put his hands on the horns of the altar, saying, Let King Solomon first give me his oath that he will not put his servant to death with the sword.","0,0,1"
"And Solomon said, If he is seen to be a man of good faith, not a hair of him will be touched; but if any wrongdoing is seen in him, he is to be put to death.","0,0,1"
"So King Solomon sent, and they took him down from the altar. And he came and gave honour to King Solomon; and Solomon said to him, Go to your house.","0,0,1"
